skill_id,skill_name,skill_category,aliases
S001,SQL,Data,"sql,structured query language"
S002,Excel,Data,"excel,microsoft excel,spreadsheets"
S003,Power BI,Data Visualization,"power bi,powerbi,bi dashboard"
S004,Python,Programming,"python,python programming"
S005,Communication,Soft Skills,"communication,verbal communication,written communication"
S006,Stakeholder Management,Business,"stakeholder management,stakeholder engagement,managing stakeholders"
S007,Agile,Project Management,"agile,scrum,kanban"
S008,Jira,Project Management,"jira,atlassian jira"
S009,Risk Management,Project Management,"risk management,risk assessment"
S010,Documentation,Operations,"documentation,technical documentation,report writing"
S011,Data Cleaning,Data,"data cleaning,data wrangling,data preparation"
S012,APIs,Programming,"apis,api integration,rest api,rest apis"
S013,Git,Programming,"git,version control,github"
S014,Reporting,Operations,"reporting,report generation,business reporting"
S015,Process Improvement,Operations,"process improvement,continuous improvement,process optimization"
S016,Cloud,Infrastructure,"cloud,cloud computing,aws,azure,gcp"
S017,Docker,Infrastructure,"docker,containerization,containers"
S018,Problem Solving,Soft Skills,"problem solving,analytical thinking"
S019,Teamwork,Soft Skills,"teamwork,collaboration,team collaboration"
S020,Customer Service,Operations,"customer service,client support,customer support"
S021,Data Analysis,Data,"data analysis,analytics,analytical skills"
S022,Tableau,Data Visualization,"tableau,tableau dashboard"
S023,Project Coordination,Project Management,"project coordination,project support,coordination"
S024,Recruitment,HR,"recruitment,talent acquisition,hiring"
S025,CV Screening,HR,"cv screening,resume screening,profile screening"
